Time,Wash Filtrate to Digester - Total Flow,Wash Filtrate Vertical Nozzle,White Liquor Flow to ITC,H-factor,H-factor Co-Current,H-factor Target,H-factor Counter-Current,Volumetric Chip Flow,Chip Mass Flow from Piles,Spruce Saw Mill Chips Share,Spruce Roundwood Chip Share,Pine Roundwood Chip Share,White Liquor Dosage to Top Circulation,White Liquor Dosage to ITC-circulation,Digester White Liquor Dosage,White Liquor Total Dosage,White Liquor Temperature,White Liquor Flow to Top Circulation,White Liquor Flow to Digester Top,White Liquor Flow to Digester Plant,White Liquor Flow to High Pressure Feeder,Chip Feeding Screw Speed,Digester Chip Level Bottom Sensor,Digester Chip Level Middle Sensor,Digester Chip Level Top Sensor,Digester Steam Space Temperature,Digester Pressure Control,Hot Spent Digester Liquor Specific Flow to Impregnation Vessel,Digester Production,Digester Long Level,Digester Chip Level Control,Digester Dilution Factor,Digester Short Level,Blow Kappa,Blow Temperature,Blow Production,Weak Black Liquor to Evaporation Plant Residual Alkali
2018-11-17 10:40:00,133.0877,119.6306,0.764897,655.269,342.6473,640.0,312.6217,612.54,32.4154,2.02e-12,0.000804,99.49611,4.54376,0.399546,17.38189,21.65654,128.3128,8.808141,33.28471,41.53465,4.008045,36.15452,20.22991,21.90265,0.0,147.7099,0.343076,2.700001,1052.877,88.36233,9.115141,2.098658,47.22539,26.00021,82.65891,1067.237,9.08
2018-11-17 10:50:00,133.1923,120.0876,0.766308,664.1421,341.7662,640.0,322.3759,643.0615,33.18187,4.71e-31,0.0,100.2854,4.309798,0.40083,17.34139,21.40574,128.3817,8.182983,33.22073,41.03527,3.991606,36.13881,19.27671,21.89595,0.0,147.6785,0.343439,2.7,1052.884,88.41602,11.13556,2.098808,47.33927,26.30274,82.5967,1069.647,9.08
2018-11-17 11:00:00,130.7694,117.8119,0.767103,648.876,340.0388,640.0,308.8372,657.1461,34.5035,0.0,0.0,99.67465,4.244152,0.399213,17.36105,21.36181,128.382,8.083553,33.21818,40.77192,4.008515,36.12835,18.71672,20.35367,0.0,147.6151,0.342186,2.7,1052.865,88.27422,5.639239,2.103448,46.81366,26.43972,82.82165,1058.935,9.08
2018-11-17 11:10:00,131.7561,118.459,0.763561,647.7138,337.9655,640.0,309.7483,649.3958,33.16504,0.0,0.0,100.1484,4.475709,0.399536,17.4688,21.62316,128.2009,8.539526,33.40172,41.40698,3.980149,36.13325,19.95409,22.4251,0.0,147.5518,0.342231,2.700001,1052.942,88.33828,9.11833,2.092097,47.03309,26.06222,83.03366,1059.139,9.08
2018-11-17 11:20:00,132.2962,118.9526,0.764344,639.7484,336.4309,640.0,303.3176,615.5647,30.96685,0.0,0.0,99.70819,4.274406,0.400991,17.41024,21.43724,128.1435,8.084039,33.26226,40.91435,3.99937,36.14371,21.79179,21.60751,0.0,147.5049,0.341929,2.699999,1052.912,88.38114,11.72805,2.110591,47.14022,25.96086,83.18822,1063.196,9.08
2018-11-17 11:30:00,133.3456,120.1518,0.764096,641.9976,341.2987,640.0,300.699,572.2865,28.93258,0.0,0.0,100.0209,4.27885,0.399493,17.38711,21.39644,128.2126,8.099135,33.20256,40.86698,3.999447,36.13283,20.65336,21.03808,0.0,147.6506,0.342611,2.700001,1052.786,88.47366,19.75098,2.091199,47.52088,26.10638,83.30546,1080.395,9.08
2018-11-17 11:40:00,131.9846,118.8773,0.764096,641.4738,342.0824,640.0,299.3914,599.9305,31.56155,0.0,0.0,100.2813,4.235202,0.39986,17.42479,21.4037,127.8475,8.172076,33.25628,40.95938,4.000998,36.15441,20.66907,25.26114,0.0,147.6878,0.342658,2.699999,1052.76,88.64925,14.54092,2.093664,48.08769,26.05258,83.42628,1070.698,9.08
2018-11-17 11:50:00,133.1477,119.7499,0.76367,616.6547,336.5437,640.0,280.111,658.382,34.03948,0.0,0.0,99.98647,4.336219,0.400445,17.33159,21.41278,128.2528,8.090428,33.09801,40.68252,3.997082,36.1292,21.47352,22.38123,0.0,147.5094,0.343473,2.700001,1052.822,88.6375,17.9175,2.128823,47.95658,25.8133,83.48857,1073.748,9.08
2018-11-17 12:00:00,132.0972,119.0502,0.764477,656.6916,337.2597,640.0,319.4319,626.5258,32.35208,0.0,0.0,100.1105,4.245473,0.400042,17.32358,21.33565,128.3958,8.092148,33.08598,40.51986,3.9941,36.12438,20.01222,21.63279,0.0,147.5237,0.343119,2.7,1052.808,88.7106,12.26931,2.080705,48.26239,25.91537,83.53724,1069.419,9.08
2018-11-17 12:10:00,131.11,118.0009,0.763282,660.486,338.7521,640.0,321.7339,627.8419,32.29776,0.0,0.0,99.97951,4.136008,0.399627,17.27394,21.15436,128.4114,7.927646,32.95483,40.3192,4.005895,36.13294,19.95068,21.94828,0.0,147.5747,0.342796,2.7,1052.77,88.66114,11.80372,2.084449,48.35083,26.16936,83.6155,1065.808,9.08
2018-11-17 12:20:00,129.8837,117.0246,0.761095,635.4467,333.2679,640.0,302.1788,585.453,31.11984,0.0,0.0,100.0206,3.821847,0.399974,17.25707,20.84509,128.2945,7.208957,32.8967,39.68124,4.007444,36.13964,19.19907,19.84064,0.0,147.4093,0.342283,2.700001,1052.837,88.54743,10.21602,2.096812,47.83205,25.97915,83.67091,1062.047,9.08
2018-11-17 12:30:00,128.4672,115.7171,0.761858,627.4111,334.0513,640.0,293.3598,647.4239,34.26807,0.0,0.0,99.90611,3.86732,0.400103,17.289,20.87517,128.5391,7.249591,32.90059,39.75229,3.983642,36.13338,17.60258,19.22312,0.0,147.5027,0.342736,2.7,1052.677,88.41631,2.830492,2.088531,47.25032,25.77852,83.6362,1045.072,9.08
2018-11-17 12:40:00,128.2807,115.511,0.762137,630.7862,334.6904,640.0,296.0958,628.0039,32.40362,0.0,0.0,99.86707,3.615905,0.399735,17.27885,20.67585,128.5095,7.058368,32.89723,39.3637,3.993863,36.15429,17.38293,18.96234,0.0,147.5924,0.343546,2.7,1053.101,88.46048,0.042572,2.097627,47.35323,26.02032,83.49973,1037.048,9.08
2018-11-17 12:50:00,127.9146,115.1948,0.760764,639.0704,334.9181,640.0,304.1523,581.1154,30.41549,0.0,0.0,99.81887,3.605674,0.399529,17.35106,20.70816,128.4781,6.853243,32.99217,39.34924,3.99382,36.14019,17.70286,20.21736,0.0,147.654,0.344237,2.700001,1052.844,88.40211,0.025064,2.098867,47.1886,26.40385,83.54871,1031.59,9.08
2018-11-17 13:00:00,127.7206,114.9769,0.760611,630.5212,333.328,640.0,297.1931,578.1214,30.59011,0.0,0.0,100.0486,3.512566,0.399513,17.29513,20.55414,128.434,6.830737,32.91208,39.10245,3.99679,36.13336,18.59158,19.7312,0.0,147.6649,0.345565,2.700001,1052.792,88.38557,1.908235,2.098904,47.22289,25.67912,83.6293,1035.714,9.08
2018-11-17 13:10:00,127.8987,114.8931,0.759899,635.7556,338.3536,640.0,297.402,568.1995,29.85675,0.0,0.0,100.0701,3.663827,0.399528,17.36432,20.76757,128.3861,6.878294,33.00748,39.5531,3.991816,36.1479,19.19652,20.80291,0.0,147.9127,0.346415,2.699999,1052.636,88.44886,6.411009,2.101778,47.62054,25.16851,83.66424,1037.421,9.08
2018-11-17 13:20:00,128.0958,115.2838,0.762633,646.0361,339.5719,640.0,306.4642,633.0446,34.27508,0.0,0.0,100.217,3.697953,0.400145,17.30717,20.7691,128.4687,6.980112,32.87655,39.69319,3.99082,36.12662,19.06471,22.0389,0.0,148.0282,0.347374,2.7,1053.05,88.51798,5.822946,2.094938,47.74337,25.29082,83.57521,1036.864,9.08
2018-11-17 13:30:00,129.2036,116.0855,0.759022,643.9364,334.495,640.0,309.4414,685.0553,35.66261,0.0,0.0,99.8707,3.70362,0.400422,17.33914,20.80535,128.4314,7.104219,32.98112,39.5645,4.007076,36.15702,21.28532,22.17774,0.0,147.9046,0.348876,2.7,1052.938,88.65519,10.87559,2.105832,48.3471,25.37758,83.52067,1042.618,9.08
2018-11-17 13:40:00,131.2409,117.9164,0.759632,644.6629,336.0276,640.0,308.6352,660.5274,34.524,0.0,0.0,99.97059,3.932971,0.400222,17.37266,21.04114,128.4464,7.180968,32.97505,39.81316,4.010548,36.14451,22.1743,24.91663,0.0,148.0101,0.348928,2.7,1052.813,88.69801,21.557,2.125556,48.41648,25.37758,83.59036,1061.867,9.08
2018-11-17 13:50:00,131.4805,118.3355,0.759842,652.8993,338.919,640.0,313.9803,620.7928,32.35957,0.0,0.0,100.1577,4.066089,0.39945,17.3163,21.1239,128.3858,7.677529,32.878,40.06877,3.999886,36.12887,22.45369,21.574,0.0,148.1914,0.350415,2.7,1052.733,88.72932,22.21946,2.093307,48.73975,25.26063,83.69736,1067.447,9.08
2018-11-17 14:00:00,130.603,117.6117,0.759518,632.9485,341.3582,640.0,291.5903,627.2374,32.76829,0.0,0.0,100.0037,3.998325,0.399793,17.31766,21.0478,128.3916,7.632315,32.87797,39.86201,3.989452,36.13529,21.1251,27.37108,0.0,148.336,0.350997,2.7,1052.937,88.79686,15.08766,2.090809,48.86382,25.25885,83.67917,1056.98,9.08
2018-11-17 14:10:00,131.3046,117.9038,0.757668,633.6258,339.3839,640.0,294.2419,594.1799,30.56609,0.0,0.0,100.0876,3.924315,0.399662,17.34824,20.99201,128.4563,7.471389,32.8793,39.62195,3.996815,36.14387,25.50278,23.98999,0.0,148.326,0.351514,2.7,1052.818,88.90311,27.51243,2.149661,49.05362,24.98506,83.69432,1069.176,9.08
